"provinceName","provinceShortName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","comment","locationId","statisticsData","highDangerCount","midDangerCount","detectOrgCount","vaccinationOrgCount","cities__cityName","cities__currentConfirmedCount","cities__confirmedCount","cities__suspectedCount","cities__curedCount","cities__deadCount","cities__highDangerCount","cities__midDangerCount","cities__locationId","cities__currentConfirmedCountStr","dangerAreas__cityName","dangerAreas__areaName","dangerAreas__dangerLevel","cities__notShowCurrentConfirmedCount"
"","","","","","","","","","","","","","","甘孜州","0","78","0","78","0","0","0","513300","0","","","",""
"","","","","","","","","","","","","","","达州","0","42","0","42","0","0","0","511700","0","","","",""
"","","","","","","","","","","","","","","南充","0","39","0","39","0","0","0","511300","0","","","",""
"","","","","","","","","","","","","","","广安","0","30","0","30","0","0","0","511600","0","","","",""
"","","","","","","","","","","","","","","泸州","0","24","0","24","0","0","0","510500","0","","","",""
"","","","","","","","","","","","","","","巴中","0","24","0","24","0","0","0","511900","0","","","",""
"","","","","","","","","","","","","","","绵阳","0","22","0","22","0","0","0","510700","0","","","",""
"","","","","","","","","","","","","","","内江","0","22","0","22","0","0","0","511000","0","","","",""
"","","","","","","","","","","","","","","德阳","0","18","0","18","0","0","0","510600","0","","","",""
"","","","","","","","","","","","","","","遂宁","0","17","0","17","0","0","0","510900","0","","","",""
"","","","","","","","","","","","","","","攀枝花","0","16","0","16","0","0","0","510400","0","","","",""
"","","","","","","","","","","","","","","凉山州","0","14","1","14","0","0","0","513400","0","","","",""
"","","","","","","","","","","","","","","宜宾","0","12","0","12","0","0","0","511500","0","","","",""
"","","","","","","","","","","","","","","自贡","0","9","0","9","0","0","0","510300","0","","","",""
"","","","","","","","","","","","","","","眉山","0","8","0","8","0","0","0","511400","0","","","",""
"","","","","","","","","","","","","","","雅安","0","8","0","8","0","0","0","511800","0","","","",""
"","","","","","","","","","","","","","","广元","0","6","0","6","0","0","0","510800","0","","","",""
"","","","","","","","","","","","","","","资阳","0","4","0","4","0","0","0","512000","0","","","",""
"","","","","","","","","","","","","","","乐山","0","3","0","3","0","0","0","511100","0","","","",""
"","","","","","","","","","","","","","","阿坝州","0","1","0","1","0","0","0","513200","0","","","",""
"陕西省","陕西","17","588","1","568","3","","610000","https://file1.dxycdn.com/2020/0223/857/3398299753820971228-135.json","0","0","276","26","境外输入","17","340","0","323","0","0","0","0","17","","","",""
"","","","","","","","","","","","","","","西安","0","121","0","118","3","0","0","610100","0","","","",""
"","","","","","","","","","","","","","","安康","0","26","0","26","0","0","0","610900","0","","","",""
"","","","","","","","","","","","","","","汉中","0","26","0","26","0","0","0","610700","0","","","",""
"","","","","","","","","","","","","","","咸阳","0","17","0","17","0","0","0","610400","0","","","",""
"","","","","","","","","","","","","","","渭南","0","17","0","17","0","0","0","610500","0","","","",""
"","","","","","","","","","","","","","","宝鸡","0","13","0","13","0","0","0","610300","0","","","",""
"","","","","","","","","","","","","","","延安","0","8","0","8","0","0","0","610600","0","","","",""
"","","","","","","","","","","","","","","铜川","0","8","0","8","0","0","0","610200","0","","","",""
"","","","","","","","","","","","","","","商洛","0","7","0","7","0","0","0","611000","0","","","",""
"","","","","","","","","","","","","","","榆林","0","3","0","3","0","0","0","610800","0","","","",""
"","","","","","","","","","","","","","","韩城","0","1","0","1","0","0","0","610581","0","","","",""
"","","","","","","","","","","","","","","杨凌","0","1","0","1","0","0","0","0","0","","","",""
"海南省","海南","16","187","0","165","6","","460000","https://file1.dxycdn.com/2020/0223/126/3398299753820555862-135.json","0","0","38","16","海口","12","51","0","39","0","0","0","460100","12","","","",""
"","","","","","","","","","","","","","","三亚","4","61","0","56","1","0","0","460200","4","","","",""
"","","","","","","","","","","","","","","儋州","0","15","0","14","1","0","0","460400","0","","","",""
"","","","","","","","","","","","","","","万宁","0","13","0","13","0","0","0","469006","0","","","",""
"","","","","","","","","","","","","","","澄迈","0","9","0","8","1","0","0","469023","0","","","",""
"","","","","","","","","","","","","","","昌江","0","7","0","7","0","0","0","469026","0","","","",""
"","","","","","","","","","","","","","","琼海","0","6","0","5","1","0","0","469002","0","","","",""
"","","","","","","","","","","","","","","临高","0","6","0","6","0","0","0","469024","0","","","",""
"","","","","","","","","","","","","","","陵水","0","4","0","4","0","0","0","469028","0","","","",""
"","","","","","","","","","","","","","","定安","0","3","0","2","1","0","0","469021","0","","","",""
"","","","","","","","","","","","","","","文昌","0","3","0","3","0","0","0","469005","0","","","",""
"","","","","","","","","","","","","","","东方","0","3","0","2","1","0","0","469007","0","","","",""
"","","","","","","","","","","","","","","保亭","0","3","0","3","0","0","0","469029","0","","","",""
"","","","","","","","","","","","","","","乐东","0","2","0","2","0","0","0","469027","0","","","",""
"","","","","","","","","","","","","","","琼中","0","1","0","1","0","0","0","469030","0","","","",""
"浙江省","浙江","10","1331","3","1320","1","2月10日通报核减的12例在浙江省治愈的外省病例，根据国家最新要求重新纳入累计病例。","330000","https://file1.dxycdn.com/2020/0223/537/3398299755968455045-135.json","0","0","519","217","境外输入","10","112","2","102","0","0","0","0","10","","","",""
"","","","","","","","","","","","","","","温州","0","504","0","503","1","0","0","330300","0","","","",""
"","","","","","","","","","","","","","","杭州","0","181","0","181","0","0","0","330100","0","","","",""
"","","","","","","","","","","","","","","宁波","0","157","0","157","0","0","0","330200","0","","","",""
"","","","","","","","","","","","","","","台州","0","147","0","147","0","0","0","331000","0","","","",""
"","","","","","","","","","","","","","","金华","0","55","0","55","0","0","0","330700","0","","","",""
"","","","","","","","","","","","","","","嘉兴","0","46","0","46","0","0","0","330400","0","","","",""
"","","","","","","","","","","","","","","绍兴","0","42","0","42","0","0","0","330600","0","","","",""
"","","","","","","","","","","","","","","省十里丰监狱","0","36","0","36","0","0","0","0","0","","","",""
"","","","","","","","","","","","","","","丽水","0","17","0","17","0","0","0","331100","0","","","",""
"","","","","","","","","","","","","","","衢州","0","14","0","14","0","0","0","330800","0","","","",""
"","","","","","","","","","","","","","","湖州","0","10","0","10","0","0","0","330500","0","","","",""
"","","","","","","","","","","","","","","舟山","0","10","0","10","0","0","0","330900","0","","","",""
"北京市","北京","10","1057","164","1038","9","北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。","110000","https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json","0","0","295","2","境外输入","23","229","3","206","0","0","0","0","23","","","",""
"","","","","","","","","","","","","","","丰台区","0","273","0","273","0","0","0","110106","-","","","","True"
"","","","","","","","","","","","","","","大兴区","0","134","0","134","0","0","0","110115","-","","","","True"
"","","","","","","","","","","","","","","海淀区","0","82","0","82","0","0","0","110108","-","","","","True"
"","","","","","","","","","","","","","","朝阳区","0","80","0","80","0","0","0","110105","-","","","","True"
"","","","","","","","","","","","","","","西城区","0","59","0","59","0","0","0","110102","-","","","","True"
"","","","","","","","","","","","","","","顺义区","0","45","0","45","0","0","0","110113","-","","","","True"
"","","","","","","","","","","","","","","昌平区","0","34","0","34","0","0","0","110114","-","","","","True"
"","","","","","","","","","","","","","","外地来京","0","25","0","25","0","0","0","0","-","","","","True"
"","","","","","","","","","","","","","","通州区","0","20","0","20","0","0","0","110112","-","","","","True"
"","","","","","","","","","","","","","","房山区","0","20","0","20","0","0","0","110111","-","","","","True"
"","","","","","","","","","","","","","","东城区","0","19","0","19","0","0","0","110101","-","","","","True"
"","","","","","","","","","","","","","","石景山区","0","15","0","15","0","0","0","110107","-","","","","True"
"","","","","","","","","","","","","","","怀柔区","0","8","0","8","0","0","0","110116","-","","","","True"
"","","","","","","","","","","","","","","密云区","0","7","0","7","0","0","0","110118","-","","","","True"
"","","","","","","","","","","","","","","门头沟区","0","5","0","5","0","0","0","110109","-","","","","True"
"","","","","","","","","","","","","","","延庆区","0","1","0","1","0","0","0","110119","-","","","","True"
"","","","","","","","","","","","","","","待明确地区","-13","1","0","5","9","0","0","0","-13","","","",""
"江苏省","江苏","9","717","3","708","0","","320000","https://file1.dxycdn.com/2020/0223/111/3398299753820971290-135.json","0","0","394","261","境外输入","9","86","0","77","0","0","0","0","9","","","",""
"","","","","","","","","","","","","","","南京","0","93","0","93","0","0","0","320100","0","","","",""
"","","","","","","","","","","","","","","苏州","0","87","0","87","0","0","0","320500","0","","","",""
"","","","","","","","","","","","","","","徐州","0","79","0","79","0","0","0","320300","0","","","",""
"","","","","","","","","","","","","","","淮安","0","66","0","66","0","0","0","320800","0","","","",""
"","","","","","","","","","","","","","","无锡","0","55","0","55","0","0","0","320200","0","","","",""
"","","","","","","","","","","","","","","常州","0","51","0","51","0","0","0","320400","0","","","",""
"","","","","","","","","","","","","","","连云港","0","48","0","48","0","0","0","320700","0","","","",""
"","","","","","","","","","","","","","","南通","0","40","0","40","0","0","0","320600","0","","","",""
"","","","","","","","","","","","","","","泰州","0","37","0","37","0","0","0","321200","0","","","",""
"","","","","","","","","","","","","","","盐城","0","27","0","27","0","0","0","320900","0","","","",""
"","","","","","","","","","","","","","","扬州","0","23","0","23","0","0","0","321000","0","","","",""
"","","","","","","","","","","","","","","宿迁","0","13","0","13","0","0","0","321300","0","","","",""
"","","","","","","","","","","","","","","镇江","0","12","0","12","0","0","0","321100","0","","","",""
"天津市","天津","8","383","50","372","3","","120000","https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json","0","0","101","16","境外输入","8","236","1","228","0","0","0","0","8","","","",""
"","","","","","","","","","","","","","","宝坻区","0","60","0","58","2","0","0","120115","0","","","",""
"","","","","","","","","","","","","","","河东区","0","15","0","14","1","0","0","120102","0","","","",""
"","","","","","","","","","","","","","","滨海新区","0","13","0","13","0","0","0","120116","0","","","",""
"","","","","","","","","","","","","","","河北区","0","12","0","12","0","0","0","120105","0","","","",""
"","","","","","","","","","","","","","","北辰区","0","7","0","7","0","0","0","120113","0","","","",""
"","","","","","","","","","","","","","","南开区","0","6","0","6","0","0","0","120104","0","","","",""
"","","","","","","","","","","","","","","和平区","0","6","0","6","0","0","0","120101","0","","","",""
"","","","","","","","","","","","","","","外地来津","0","6","0","6","0","0","0","-1","0","","","",""
"","","","","","","","","","","","","","","东丽区","0","4","0","4","0","0","0","120110","0","","","",""
"","","","","","","","","","","","","","","宁河区","0","4","0","4","0","0","0","120117","0","","","",""
"","","","","","","","","","","","","","","河西区","0","4","0","4","0","0","0","120103","0","","","",""
"","","","","","","","","","","","","","","西青区","0","4","0","4","0","0","0","120111","0","","","",""
"","","","","","","","","","","","","","","武清区","0","2","0","2","0","0","0","120114","0","","","",""
"","","","","","","","","","","","","","","红桥区","0","2","0","2","0","0","0","120106","0","","","",""
"","","","","","","","","","","","","","","津南区","0","2","0","2","0","0","0","120112","0","","","",""
"山东省","山东","7","876","14","862","7","","370000","https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json","0","0","221","113","境外输入","7","98","14","91","0","0","0","0","7","","","",""
"","","","","","","","","","","","","","","济宁","0","260","0","260","0","0","0","370800","0","","","",""
"","","","","","","","","","","","","","","青岛","0","80","0","79","1","0","0","370200","0","","","",""
"","","","","","","","","","","","","","","临沂","0","49","0","49","0","0","0","371300","0","","","",""
"","","","","","","","","","","","","","","济南","0","47","0","47","0","0","0","370100","0","","","",""
"","","","","","","","","","","","","","","烟台","0","47","0","47","0","0","0","370600","0","","","",""
"","","","","","","","","","","","","","","潍坊","0","44","0","44","0","0","0","370700","0","","","",""
"","","","","","","","","","","","","","","威海","0","38","0","37","1","0","0","371000","0","","","",""
"","","","","","","","","","","","","","","聊城","0","38","0","38","0","0","0","371500","0","","","",""
"","","","","","","","","","","","","","","德州","0","37","0","35","2","0","0","371400","0","","","",""
"","","","","","","","","","","","","","","泰安","0","35","0","33","2","0","0","370900","0","","","",""
"","","","","","","","","","","","","","","淄博","0","30","0","29","1","0","0","370300","0","","","",""
"","","","","","","","","","","","","","","枣庄","0","24","0","24","0","0","0","370400","0","","","",""
"","","","","","","","","","","","","","","菏泽","0","18","0","18","0","0","0","371700","0","","","",""
"","","","","","","","","","","","","","","日照","0","16","0","16","0","0","0","371100","0","","","",""
"","","","","","","","","","","","","","","滨州","0","15","0","15","0","0","0","371600","0","","","",""
"山西省","山西","7","249","64","242","0","","140000","https://file1.dxycdn.com/2020/0223/196/3398299755968040081-135.json","0","0","183","70","境外输入","7","111","64","104","0","0","0","0","7","","","",""
"","","","","","","","","","","","","","","晋中","0","41","0","41","0","0","0","140700","0","","","",""
"","","","","","","","","","","","","","","太原","0","21","0","21","0","0","0","140100","0","","","",""
"","","","","","","","","","","","","","","运城","0","19","0","19","0","0","0","140800","0","","","",""
"","","","","","","","","","","","","","","大同","0","12","0","12","0","0","0","140200","0","","","",""
"","","","","","","","","","","","","","","晋城","0","10","0","10","0","0","0","140500","0","","","",""
"","","","","","","","","","","","","","","长治","0","8","0","8","0","0","0","140400","0","","","",""
"","","","","","","","","","","","","","","朔州","0","8","0","8","0","0","0","140600","0","","","",""
"","","","","","","","","","","","","","","忻州","0","7","0","7","0","0","0","140900","0","","","",""
"","","","","","","","","","","","","","","吕梁","0","6","0","6","0","0","0","141100","0","","","",""
"","","","","","","","","","","","","","","阳泉","0","4","0","4","0","0","0","140300","0","","","",""
"","","","","","","","","","","","","","","临汾","0","2","0","2","0","0","0","141000","0","","","",""
"湖北省","湖北","5","68157","0","63640","4512","4.17 武汉市订正数据，武汉死亡核增1290，确诊核增325，治愈核减965","420000","https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json","0","0","217","431","武汉","5","50362","0","46488","3869","0","0","420100","5","","","",""
"","","","","","","","","","","","","","","孝感","0","3518","0","3389","129","0","0","420900","0","","","",""
"","","","","","","","","","","","","","","黄冈","0","2907","0","2782","125","0","0","421100","0","","","",""
"","","","","","","","","","","","","","","荆州","0","1580","0","1528","52","0","0","421000","0","","","",""
"","","","","","","","","","","","","","","鄂州","0","1394","0","1335","59","0","0","420700","0","","","",""
"","","","","","","","","","","","","","","随州","0","1307","0","1262","45","0","0","421300","0","","","",""
"","","","","","","","","","","","","","","襄阳","0","1175","0","1135","40","0","0","420600","0","","","",""
"","","","","","","","","","","","","","","黄石","0","1015","0","976","39","0","0","420200","0","","","",""
"","","","","","","","","","","","","","","宜昌","0","931","0","894","37","0","0","420500","0","","","",""
"","","","","","","","","","","","","","","荆门","0","928","0","887","41","0","0","420800","0","","","",""
"","","","","","","","","","","","","","","咸宁","0","836","0","821","15","0","0","421200","0","","","",""
"","","","","","","","","","","","","","","十堰","0","672","0","664","8","0","0","420300","0","","","",""
"","","","","","","","","","","","","","","仙桃","0","575","0","553","22","0","0","429004","0","","","",""
"","","","","","","","","","","","","","","天门","0","496","0","481","15","0","0","429006","0","","","",""
"","","","","","","","","","","","","","","恩施州","0","252","0","245","7","0","0","422800","0","","","",""
"","","","","","","","","","","","","","","潜江","0","198","0","189","9","0","0","429005","0","","","",""
"","","","","","","","","","","","","","","神农架林区","0","11","0","11","0","0","0","429021","0","","","",""
"河南省","河南","5","1312","0","1285","22","","410000","https://file1.dxycdn.com/2020/0223/958/3398299751673487456-135.json","0","0","197","234","境外输入","5","39","0","34","0","0","0","0","5","","","",""
"","","","","","","","","","","","","","","信阳","0","274","0","272","2","0","0","411500","0","","","",""
"","","","","","","","","","","","","","","郑州","0","157","0","152","5","0","0","410100","0","","","",""
"","","","","","","","","","","","","","","南阳","0","156","0","153","3","0","0","411300","0","","","",""
"","","","","","","","","","","","","","","驻马店","0","139","0","139","0","0","0","411700","0","","","",""
"","","","","","","","","","","","","","","商丘","0","91","0","88","3","0","0","411400","0","","","",""
"","","","","","","","","","","","","","","周口","0","76","0","75","1","0","0","411600","0","","","",""
"","","","","","","","","","","","","","","平顶山","0","58","0","57","1","0","0","410400","0","","","",""
"","","","","","","","","","","","","","","新乡","0","57","0","54","3","0","0","410700","0","","","",""
"","","","","","","","","","","","","","","安阳","0","53","0","53","0","0","0","410500","0","","","",""
"","","","","","","","","","","","","","","许昌","0","39","0","38","1","0","0","411000","0","","","",""
"","","","","","","","","","","","","","","漯河","0","36","0","36","0","0","0","411100","0","","","",""
"","","","","","","","","","","","","","","焦作","0","32","0","31","1","0","0","410800","0","","","",""
"","","","","","","","","","","","","","","洛阳","0","31","0","30","1","0","0","410300","0","","","",""
"","","","","","","","","","","","","","","开封","0","26","0","26","0","0","0","410200","0","","","",""
"","","","","","","","","","","","","","","鹤壁","0","19","0","19","0","0","0","410600","0","","","",""
"","","","","","","","","","","","","","","濮阳","0","17","0","17","0","0","0","410900","0","","","",""
"","","","","","","","","","","","","","","三门峡","0","7","0","6","1","0","0","411200","0","","","",""
"","","","","","","","","","","","","","","济源","0","5","0","5","0","0","0","419001","0","","","",""
"湖南省","湖南","4","1044","0","1036","4","","430000","https://file1.dxycdn.com/2020/0223/440/3398299751673072079-135.json","0","0","286","65","境外输入","4","26","0","22","0","0","0","0","4","","","",""
"","","","","","","","","","","","","","","长沙","0","242","0","240","2","0","0","430100","0","","","",""
"","","","","","","","","","","","","","","岳阳","0","156","0","155","1","0","0","430600","0","","","",""
"","","","","","","","","","","","","","","邵阳","0","102","0","101","1","0","0","430500","0","","","",""
"","","","","","","","","","","","","","","常德","0","82","0","82","0","0","0","430700","0","","","",""
"","","","","","","","","","","","","","","株洲","0","80","0","80","0","0","0","430200","0","","","",""
"","","","","","","","","","","","","","","娄底","0","76","0","76","0","0","0","431300","0","","","",""
"","","","","","","","","","","","","","","益阳","0","60","0","60","0","0","0","430900","0","","","",""
"","","","","","","","","","","","","","","衡阳","0","48","0","48","0","0","0","430400","0","","","",""
"","","","","","","","","","","","","","","永州","0","44","0","44","0","0","0","431100","0","","","",""
"","","","","","","","","","","","","","","怀化","0","40","0","40","0","0","0","431200","0","","","",""
"","","","","","","","","","","","","","","郴州","0","39","0","39","0","0","0","431000","0","","","",""
"","","","","","","","","","","","","","","湘潭","0","36","0","36","0","0","0","430300","0","","","",""
"","","","","","","","","","","","","","","湘西自治州","0","8","0","8","0","0","0","433100","0","","","",""
"","","","","","","","","","","","","","","张家界","0","5","0","5","0","0","0","430800","0","","","",""
"重庆市","重庆","3","594","15","585","6","","500000","https://file1.dxycdn.com/2020/0223/368/3398299751673487486-135.json","0","0","80","261","境外输入","3","18","0","15","0","0","0","0","3","","","",""
"","","","","","","","","","","","","","","万州区","0","118","0","114","4","0","0","500101","0","","","",""
"","","","","","","","","","","","","","","江北区","0","28","0","28","0","0","0","500105","0","","","",""
"","","","","","","","","","","","","","","云阳县","0","25","0","25","0","0","0","500235","0","","","",""
"","","","","","","","","","","","","","","合川区","0","23","0","23","0","0","0","500117","0","","","",""
"","","","","","","","","","","","","","","綦江区","0","23","0","23","0","0","0","500110","0","","","",""
"","","","","","","","","","","","","","","长寿区","0","22","0","22","0","0","0","500115","0","","","",""
"","","","","","","","","","","","","","","奉节县","0","22","0","22","0","0","0","500236","0","","","",""
"","","","","","","","","","","","","","","九龙坡区","0","21","0","20","1","0","0","500107","0","","","",""
"","","","","","","","","","","","","","","开州区","0","21","0","20","1","0","0","500154","0","","","",""
"","","","","","","","","","","","","","","忠县","0","21","0","21","0","0","0","500233","0","","","",""
"","","","","","","","","","","","","","","渝中区","0","20","0","20","0","0","0","500103","0","","","",""
"","","","","","","","","","","","","","","垫江县","0","20","0","20","0","0","0","500231","0","","","",""
"","","","","","","","","","","","","","","潼南区","0","18","0","18","0","0","0","500152","0","","","",""
"","","","","","","","","","","","","","","渝北区","0","17","0","17","0","0","0","500112","0","","","",""
"","","","","","","","","","","","","","","两江新区","0","17","0","17","0","0","0","-1","0","","","",""
"","","","","","","","","","","","","","","南岸区","0","15","0","15","0","0","0","500108","0","","","",""
"","","","","","","","","","","","","","","石柱县","0","15","0","15","0","0","0","500240","0","","","",""
"","","","","","","","","","","","","","","大足区","0","14","0","14","0","0","0","500111","0","","","",""
"","","","","","","","","","","","","","","巫溪县","0","14","0","14","0","0","0","500238","0","","","",""
"","","","","","","","","","","","","","","铜梁区","0","10","0","10","0","0","0","500151","0","","","",""
"","","","","","","","","","","","","","","丰都县","0","10","0","10","0","0","0","500230","0","","","",""
"","","","","","","","","","","","","","","巫山县","0","10","0","10","0","0","0","500237","0","","","",""
"","","","","","","","","","","","","","","沙坪坝区","0","9","0","9","0","0","0","500106","0","","","",""
